,Date,ESI,station
250,12/3/13,0.2944304,2175:AL:SCAN
251,12/3/13,-0.5037694,2053:AL:SCAN
252,2/26/13,0.13462976,2057:AL:SCAN
253,2/26/13,0.3829903,2078:AL:SCAN
254,2/26/13,0.29391518,2177:AL:SCAN
255,2/26/13,1.5442789,2113:AL:SCAN
256,2/26/13,0.5770072,2174:AL:SCAN
257,2/26/13,-9999,2055:AL:SCAN
258,2/26/13,0.75416225,2173:AL:SCAN
259,2/26/13,0.89768904,2180:AL:SCAN
260,2/26/13,0.69749546,2114:AL:SCAN
261,2/26/13,1.084205,2178:AL:SCAN
262,2/26/13,1.9142544,2181:AL:SCAN
263,2/26/13,2.233979,2182:AL:SCAN
264,2/26/13,-1.1600131,2176:AL:SCAN
265,2/26/13,1.2678759,2056:AL:SCAN
266,2/26/13,0.8971833,2179:AL:SCAN
267,2/26/13,0.15832059,2115:AL:SCAN
268,2/26/13,1.3364025,2175:AL:SCAN
269,2/26/13,0.48050332,2053:AL:SCAN
270,5/14/13,-0.38376805,2057:AL:SCAN
271,5/14/13,0.39257506,2078:AL:SCAN
272,5/14/13,0.8515895,2177:AL:SCAN
273,5/14/13,-0.18230155,2113:AL:SCAN
274,5/14/13,0.4742158,2174:AL:SCAN
275,5/14/13,-9999,2055:AL:SCAN
276,5/14/13,0.59676075,2173:AL:SCAN
277,5/14/13,-9999,2180:AL:SCAN
278,5/14/13,1.0671532,2114:AL:SCAN
279,5/14/13,0.16456231,2178:AL:SCAN
280,5/14/13,-9999,2181:AL:SCAN
281,5/14/13,-0.81853586,2182:AL:SCAN
282,5/14/13,0.58401495,2176:AL:SCAN
283,5/14/13,0.83225906,2056:AL:SCAN
284,5/14/13,0.3647093,2179:AL:SCAN
285,5/14/13,-0.13712792,2115:AL:SCAN
286,5/14/13,0.8749193,2175:AL:SCAN
287,5/14/13,1.0117638,2053:AL:SCAN
288,10/1/13,-0.7652575,2057:AL:SCAN
289,10/1/13,1.6678948,2078:AL:SCAN
290,10/1/13,-0.13878252,2177:AL:SCAN
291,10/1/13,0.009635686,2113:AL:SCAN
292,10/1/13,1.5564994,2174:AL:SCAN
293,10/1/13,-9999,2055:AL:SCAN
294,10/1/13,1.7317799,2173:AL:SCAN
295,10/1/13,1.8442842,2180:AL:SCAN
296,10/1/13,0.69972503,2114:AL:SCAN
297,10/1/13,-1.1919569,2178:AL:SCAN
298,10/1/13,1.4350382,2181:AL:SCAN
299,10/1/13,0.06694894,2182:AL:SCAN
300,10/1/13,-0.5990092,2176:AL:SCAN
301,10/1/13,0.36195076,2056:AL:SCAN
302,10/1/13,0.79343903,2179:AL:SCAN
303,10/1/13,-0.77262926,2115:AL:SCAN
304,10/1/13,-9999,2175:AL:SCAN
305,10/1/13,-9999,2053:AL:SCAN
306,11/5/13,1.5563097,2057:AL:SCAN
307,11/5/13,1.4635047,2078:AL:SCAN
308,11/5/13,-0.22233279,2177:AL:SCAN
309,11/5/13,-0.3232944,2113:AL:SCAN
310,11/5/13,-0.38147032,2174:AL:SCAN
311,11/5/13,0.35944203,2055:AL:SCAN
312,11/5/13,1.4760768,2173:AL:SCAN
313,11/5/13,1.0916147,2180:AL:SCAN
314,11/5/13,0.033193104,2114:AL:SCAN
315,11/5/13,0.012249899,2178:AL:SCAN
316,11/5/13,-0.47651002,2181:AL:SCAN
317,11/5/13,0.8850696,2182:AL:SCAN
318,11/5/13,-0.36317578,2176:AL:SCAN
319,11/5/13,-0.8699175,2056:AL:SCAN
320,11/5/13,-0.006659047,2179:AL:SCAN
321,11/5/13,0.7386575,2115:AL:SCAN
322,11/5/13,-0.28464717,2175:AL:SCAN
323,11/5/13,1.9443296,2053:AL:SCAN
324,4/16/13,0.6445176,2057:AL:SCAN
325,4/16/13,1.2874033,2078:AL:SCAN
326,4/16/13,0.5746538,2177:AL:SCAN
327,4/16/13,0.4196051,2113:AL:SCAN
328,4/16/13,1.1117225,2174:AL:SCAN
329,4/16/13,-9999,2055:AL:SCAN
330,4/16/13,1.5462606,2173:AL:SCAN
331,4/16/13,0.4191126,2180:AL:SCAN
332,4/16/13,1.9980448,2114:AL:SCAN
333,4/16/13,0.17950302,2178:AL:SCAN
334,4/16/13,0.36037573,2181:AL:SCAN
335,4/16/13,-0.7528534,2182:AL:SCAN
336,4/16/13,0.54460794,2176:AL:SCAN
337,4/16/13,0.041153952,2056:AL:SCAN
338,4/16/13,-9999,2179:AL:SCAN
339,4/16/13,0.599071,2115:AL:SCAN
340,4/16/13,0.5264223,2175:AL:SCAN
341,4/16/13,1.696888,2053:AL:SCAN
342,6/18/13,0.07742767,2057:AL:SCAN
343,6/18/13,1.2402246,2078:AL:SCAN
344,6/18/13,-0.9695088,2177:AL:SCAN
345,6/18/13,-1.2904052,2113:AL:SCAN
346,6/18/13,-0.1900943,2174:AL:SCAN
347,6/18/13,-9999,2055:AL:SCAN
348,6/18/13,0.5839171,2173:AL:SCAN
349,6/18/13,-2.1797135,2180:AL:SCAN
350,6/18/13,0.44843802,2114:AL:SCAN
351,6/18/13,-1.0053021,2178:AL:SCAN
352,6/18/13,0.021534959,2181:AL:SCAN
353,6/18/13,-2.289018,2182:AL:SCAN
354,6/18/13,-0.631993,2176:AL:SCAN
355,6/18/13,0.47560024,2056:AL:SCAN
356,6/18/13,0.60349375,2179:AL:SCAN
357,6/18/13,-1.6031536,2115:AL:SCAN
358,6/18/13,-1.9628061,2175:AL:SCAN
359,6/18/13,1.0070717,2053:AL:SCAN
360,5/21/13,-1.3106664,2057:AL:SCAN
361,5/21/13,-1.1118053,2078:AL:SCAN
362,5/21/13,1.2749732,2177:AL:SCAN
363,5/21/13,-1.1794121,2113:AL:SCAN
364,5/21/13,0.26181152,2174:AL:SCAN
365,5/21/13,-9999,2055:AL:SCAN
366,5/21/13,0.75349665,2173:AL:SCAN
367,5/21/13,0.5721722,2180:AL:SCAN
368,5/21/13,0.87923294,2114:AL:SCAN
369,5/21/13,1.0720594,2178:AL:SCAN
370,5/21/13,-9999,2181:AL:SCAN
371,5/21/13,1.314583,2182:AL:SCAN
372,5/21/13,0.057766683,2176:AL:SCAN
373,5/21/13,-1.7720246,2056:AL:SCAN
374,5/21/13,-1.5269337,2179:AL:SCAN
375,5/21/13,1.0450504,2115:AL:SCAN
376,5/21/13,0.69894105,2175:AL:SCAN
377,5/21/13,-9999,2053:AL:SCAN
378,10/22/13,0.20553674,2057:AL:SCAN
379,10/22/13,0.6274194,2078:AL:SCAN
380,10/22/13,2.186746,2177:AL:SCAN
381,10/22/13,-9999,2113:AL:SCAN
382,10/22/13,0.91689694,2174:AL:SCAN
383,10/22/13,1.4700785,2055:AL:SCAN
384,10/22/13,0.62391526,2173:AL:SCAN
385,10/22/13,0.8015679,2180:AL:SCAN
386,10/22/13,1.6091547,2114:AL:SCAN
387,10/22/13,-9999,2178:AL:SCAN
388,10/22/13,-9999,2181:AL:SCAN
389,10/22/13,1.0763055,2182:AL:SCAN
390,10/22/13,2.0376055,2176:AL:SCAN
391,10/22/13,-0.406884,2056:AL:SCAN
392,10/22/13,0.36145407,2179:AL:SCAN
393,10/22/13,-9999,2115:AL:SCAN
394,10/22/13,-9999,2175:AL:SCAN
395,10/22/13,0.7730718,2053:AL:SCAN
396,1/22/13,0.6864675,2057:AL:SCAN
397,1/22/13,1.121515,2078:AL:SCAN
398,1/22/13,-0.2716314,2177:AL:SCAN
399,1/22/13,0.82484335,2113:AL:SCAN
400,1/22/13,1.074445,2174:AL:SCAN
401,1/22/13,0.27258238,2055:AL:SCAN
402,1/22/13,0.44845894,2173:AL:SCAN
403,1/22/13,-0.6473987,2180:AL:SCAN
404,1/22/13,0.87798893,2114:AL:SCAN
405,1/22/13,0.32681832,2178:AL:SCAN
406,1/22/13,-0.3495941,2181:AL:SCAN
407,1/22/13,0.7822067,2182:AL:SCAN
408,1/22/13,-0.32739583,2176:AL:SCAN
409,1/22/13,0.4158717,2056:AL:SCAN
410,1/22/13,0.8551196,2179:AL:SCAN
411,1/22/13,0.5370792,2115:AL:SCAN
412,1/22/13,0.29793972,2175:AL:SCAN
413,1/22/13,0.9675581,2053:AL:SCAN
414,1/8/13,0.99963444,2057:AL:SCAN
415,1/8/13,1.1638517,2078:AL:SCAN
416,1/8/13,0.17816478,2177:AL:SCAN
417,1/8/13,1.0844346,2113:AL:SCAN
418,1/8/13,1.1859074,2174:AL:SCAN
419,1/8/13,-9999,2055:AL:SCAN
420,1/8/13,1.0217209,2173:AL:SCAN
421,1/8/13,1.4271007,2180:AL:SCAN
422,1/8/13,1.4094884,2114:AL:SCAN
423,1/8/13,0.44318193,2178:AL:SCAN
424,1/8/13,0.4037672,2181:AL:SCAN
425,1/8/13,2.003795,2182:AL:SCAN
426,1/8/13,0.5412106,2176:AL:SCAN
427,1/8/13,1.2411249,2056:AL:SCAN
428,1/8/13,1.2622962,2179:AL:SCAN
429,1/8/13,0.51390797,2115:AL:SCAN
430,1/8/13,0.12530625,2175:AL:SCAN
431,1/8/13,1.0987519,2053:AL:SCAN
432,4/30/13,-0.00187722,2057:AL:SCAN
433,4/30/13,0.27303773,2078:AL:SCAN
434,4/30/13,0.33817616,2177:AL:SCAN
435,4/30/13,0.23369657,2113:AL:SCAN
436,4/30/13,0.106818445,2174:AL:SCAN
437,4/30/13,-0.064455256,2055:AL:SCAN
438,4/30/13,0.28237545,2173:AL:SCAN
439,4/30/13,1.0258788,2180:AL:SCAN
440,4/30/13,-0.58165485,2114:AL:SCAN
441,4/30/13,0.07971203,2178:AL:SCAN
442,4/30/13,0.74760073,2181:AL:SCAN
443,4/30/13,2.2481833,2182:AL:SCAN
444,4/30/13,0.37247232,2176:AL:SCAN
445,4/30/13,0.2770485,2056:AL:SCAN
446,4/30/13,0.21724537,2179:AL:SCAN
447,4/30/13,0.14148566,2115:AL:SCAN
448,4/30/13,0.5222689,2175:AL:SCAN
449,4/30/13,1.1142803,2053:AL:SCAN
450,2/12/13,-0.6226076,2057:AL:SCAN
451,2/12/13,-0.58940625,2078:AL:SCAN
452,2/12/13,0.07326198,2177:AL:SCAN
453,2/12/13,0.93328726,2113:AL:SCAN
454,2/12/13,-0.4636653,2174:AL:SCAN
455,2/12/13,-9999,2055:AL:SCAN
456,2/12/13,-0.115287535,2173:AL:SCAN
457,2/12/13,-0.3849439,2180:AL:SCAN
458,2/12/13,0.47808814,2114:AL:SCAN
459,2/12/13,-0.58804107,2178:AL:SCAN
460,2/12/13,-9999,2181:AL:SCAN
461,2/12/13,2.2944763,2182:AL:SCAN
462,2/12/13,0.28135172,2176:AL:SCAN
463,2/12/13,0.46965876,2056:AL:SCAN
464,2/12/13,-0.82406443,2179:AL:SCAN
465,2/12/13,-0.5308289,2115:AL:SCAN
466,2/12/13,-9999,2175:AL:SCAN
467,2/12/13,-0.51590616,2053:AL:SCAN
468,11/19/13,-0.8393356,2057:AL:SCAN
469,11/19/13,-0.7899821,2078:AL:SCAN
470,11/19/13,-1.3751645,2177:AL:SCAN
471,11/19/13,-0.87056637,2113:AL:SCAN
472,11/19/13,-1.2746711,2174:AL:SCAN
473,11/19/13,-0.24784763,2055:AL:SCAN
474,11/19/13,-0.32813746,2173:AL:SCAN
475,11/19/13,-1.4429396,2180:AL:SCAN
476,11/19/13,-1.5728604,2114:AL:SCAN
477,11/19/13,-1.8601682,2178:AL:SCAN
478,11/19/13,-0.34512034,2181:AL:SCAN
479,11/19/13,0.8645726,2182:AL:SCAN
480,11/19/13,-2.1017962,2176:AL:SCAN
481,11/19/13,-1.0683501,2056:AL:SCAN
482,11/19/13,-0.9992518,2179:AL:SCAN
483,11/19/13,-0.9557638,2115:AL:SCAN
484,11/19/13,0.050855085,2175:AL:SCAN
485,11/19/13,-0.8638467,2053:AL:SCAN
486,7/2/13,0.20655243,2057:AL:SCAN
487,7/2/13,-0.5626958,2078:AL:SCAN
488,7/2/13,-9999,2177:AL:SCAN
489,7/2/13,0.7696254,2113:AL:SCAN
490,7/2/13,-0.24022833,2174:AL:SCAN
491,7/2/13,0.6771416,2055:AL:SCAN
492,7/2/13,0.29214364,2173:AL:SCAN
493,7/2/13,-9999,2180:AL:SCAN
494,7/2/13,-0.24988817,2114:AL:SCAN
495,7/2/13,-0.003530501,2178:AL:SCAN
496,7/2/13,-9999,2181:AL:SCAN
497,7/2/13,0.7682753,2182:AL:SCAN
498,7/2/13,0.87486345,2176:AL:SCAN
499,7/2/13,-9999,2056:AL:SCAN
500,7/2/13,-0.9498139,2179:AL:SCAN
501,7/2/13,-9999,2115:AL:SCAN
502,7/2/13,-9999,2175:AL:SCAN
503,7/2/13,-9999,2053:AL:SCAN
504,10/29/13,1.507864,2057:AL:SCAN
505,10/29/13,2.5266564,2078:AL:SCAN
506,10/29/13,-0.43483144,2177:AL:SCAN
507,10/29/13,0.83580077,2113:AL:SCAN
508,10/29/13,-0.8567885,2174:AL:SCAN
509,10/29/13,1.2527872,2055:AL:SCAN
510,10/29/13,1.1064494,2173:AL:SCAN
511,10/29/13,-0.18384077,2180:AL:SCAN
512,10/29/13,0.48838013,2114:AL:SCAN
513,10/29/13,0.01923046,2178:AL:SCAN
514,10/29/13,0.3001556,2181:AL:SCAN
515,10/29/13,0.26838565,2182:AL:SCAN
516,10/29/13,1.2299727,2176:AL:SCAN
517,10/29/13,0.51454455,2056:AL:SCAN
518,10/29/13,0.8101782,2179:AL:SCAN
519,10/29/13,-0.2964858,2115:AL:SCAN
520,10/29/13,-0.39260456,2175:AL:SCAN
521,10/29/13,2.1582932,2053:AL:SCAN
522,6/11/13,-2.30606,2057:AL:SCAN
523,6/11/13,-2.3862324,2078:AL:SCAN
524,6/11/13,0.31548452,2177:AL:SCAN
