,ESI,Latitude,Longitude,Date,StationTriplet
140,-1.358,34.17973,-87.45618,2001-02-19,2179:AL:SCAN
141,-0.895,32.43455,-85.74802,2001-02-19,2115:AL:SCAN
142,-0.58,33.33168,-85.51818,2001-02-19,2175:AL:SCAN
143,-1.295,34.9,-86.53333,2001-02-19,2053:AL:SCAN
144,-0.759,34.78333,-86.55,2001-02-26,2057:AL:SCAN
145,-1.58,34.89375,-86.60236,2001-02-26,2078:AL:SCAN
146,-0.471,32.28393,-86.05253,2001-02-26,2177:AL:SCAN
147,-1.402,34.19492,-86.79897,2001-02-26,2113:AL:SCAN
148,-0.848,33.10768,-88.31003,2001-02-26,2174:AL:SCAN
149,-0.999,34.4448,-86.16557,2001-02-26,2055:AL:SCAN
150,-0.437,34.81982,-87.98685,2001-02-26,2173:AL:SCAN
151,0.181,30.5238,-87.69797,2001-02-26,2180:AL:SCAN
152,-0.26,32.608,-88.19743,2001-02-26,2114:AL:SCAN
153,-0.619,32.41222,-85.91028,2001-02-26,2178:AL:SCAN
154,-0.11,31.10923,-87.55277,2001-02-26,2181:AL:SCAN
155,-0.361,31.01912,-85.03693,2001-02-26,2182:AL:SCAN
156,-0.265,32.40392,-86.89137,2001-02-26,2176:AL:SCAN
157,-1.063,34.43333,-86.68333,2001-02-26,2056:AL:SCAN
158,-1.611,34.17973,-87.45618,2001-02-26,2179:AL:SCAN
159,-0.238,32.43455,-85.74802,2001-02-26,2115:AL:SCAN
160,0.003,33.33168,-85.51818,2001-02-26,2175:AL:SCAN
161,-2.266,34.9,-86.53333,2001-02-26,2053:AL:SCAN
162,-0.673,34.78333,-86.55,2001-03-05,2057:AL:SCAN
163,-1.021,34.89375,-86.60236,2001-03-05,2078:AL:SCAN
164,0.404,32.28393,-86.05253,2001-03-05,2177:AL:SCAN
165,-0.522,34.19492,-86.79897,2001-03-05,2113:AL:SCAN
166,-1.408,33.10768,-88.31003,2001-03-05,2174:AL:SCAN
167,0.364,34.4448,-86.16557,2001-03-05,2055:AL:SCAN
168,-0.934,34.81982,-87.98685,2001-03-05,2173:AL:SCAN
169,-1.689,30.5238,-87.69797,2001-03-05,2180:AL:SCAN
170,-0.21,32.608,-88.19743,2001-03-05,2114:AL:SCAN
171,-0.817,32.41222,-85.91028,2001-03-05,2178:AL:SCAN
172,0.629,31.10923,-87.55277,2001-03-05,2181:AL:SCAN
173,-0.752,31.01912,-85.03693,2001-03-05,2182:AL:SCAN
174,-0.766,32.40392,-86.89137,2001-03-05,2176:AL:SCAN
175,-0.724,34.43333,-86.68333,2001-03-05,2056:AL:SCAN
176,-0.989,34.17973,-87.45618,2001-03-05,2179:AL:SCAN
177,-0.859,32.43455,-85.74802,2001-03-05,2115:AL:SCAN
178,-0.326,33.33168,-85.51818,2001-03-05,2175:AL:SCAN
179,-1.463,34.9,-86.53333,2001-03-05,2053:AL:SCAN
180,-0.529,34.78333,-86.55,2001-03-12,2057:AL:SCAN
181,-0.629,34.89375,-86.60236,2001-03-12,2078:AL:SCAN
182,0.347,32.28393,-86.05253,2001-03-12,2177:AL:SCAN
183,-0.389,34.19492,-86.79897,2001-03-12,2113:AL:SCAN
184,-0.325,33.10768,-88.31003,2001-03-12,2174:AL:SCAN
185,0.853,34.4448,-86.16557,2001-03-12,2055:AL:SCAN
186,-0.777,34.81982,-87.98685,2001-03-12,2173:AL:SCAN
187,-1.006,30.5238,-87.69797,2001-03-12,2180:AL:SCAN
188,0.454,32.608,-88.19743,2001-03-12,2114:AL:SCAN
189,0.608,32.41222,-85.91028,2001-03-12,2178:AL:SCAN
190,0.367,31.10923,-87.55277,2001-03-12,2181:AL:SCAN
191,-1.159,31.01912,-85.03693,2001-03-12,2182:AL:SCAN
192,0.285,32.40392,-86.89137,2001-03-12,2176:AL:SCAN
193,-0.031,34.43333,-86.68333,2001-03-12,2056:AL:SCAN
194,-0.359,34.17973,-87.45618,2001-03-12,2179:AL:SCAN
195,0.809,32.43455,-85.74802,2001-03-12,2115:AL:SCAN
196,0.283,33.33168,-85.51818,2001-03-12,2175:AL:SCAN
197,-0.76,34.9,-86.53333,2001-03-12,2053:AL:SCAN
198,-0.83,34.78333,-86.55,2001-03-19,2057:AL:SCAN
199,-1.772,34.89375,-86.60236,2001-03-19,2078:AL:SCAN
200,0.628,32.28393,-86.05253,2001-03-19,2177:AL:SCAN
201,-1.713,34.19492,-86.79897,2001-03-19,2113:AL:SCAN
202,-0.784,33.10768,-88.31003,2001-03-19,2174:AL:SCAN
203,-0.23,34.4448,-86.16557,2001-03-19,2055:AL:SCAN
204,-0.997,34.81982,-87.98685,2001-03-19,2173:AL:SCAN
205,-0.009,30.5238,-87.69797,2001-03-19,2180:AL:SCAN
206,0.608,32.608,-88.19743,2001-03-19,2114:AL:SCAN
207,0.451,32.41222,-85.91028,2001-03-19,2178:AL:SCAN
208,1.401,31.10923,-87.55277,2001-03-19,2181:AL:SCAN
209,-3.5,31.01912,-85.03693,2001-03-19,2182:AL:SCAN
210,0.722,32.40392,-86.89137,2001-03-19,2176:AL:SCAN
211,-1.106,34.43333,-86.68333,2001-03-19,2056:AL:SCAN
212,0.057,34.17973,-87.45618,2001-03-19,2179:AL:SCAN
213,-0.225,32.43455,-85.74802,2001-03-19,2115:AL:SCAN
214,-0.579,33.33168,-85.51818,2001-03-19,2175:AL:SCAN
215,-0.355,34.9,-86.53333,2001-03-19,2053:AL:SCAN
216,0.96,34.78333,-86.55,2001-03-26,2057:AL:SCAN
217,0.261,34.89375,-86.60236,2001-03-26,2078:AL:SCAN
218,2.291,32.28393,-86.05253,2001-03-26,2177:AL:SCAN
219,1.518,34.19492,-86.79897,2001-03-26,2113:AL:SCAN
220,0.334,33.10768,-88.31003,2001-03-26,2174:AL:SCAN
221,2.241,34.4448,-86.16557,2001-03-26,2055:AL:SCAN
222,0.575,34.81982,-87.98685,2001-03-26,2173:AL:SCAN
223,0.671,30.5238,-87.69797,2001-03-26,2180:AL:SCAN
224,1.018,32.608,-88.19743,2001-03-26,2114:AL:SCAN
225,0.712,32.41222,-85.91028,2001-03-26,2178:AL:SCAN
226,0.691,31.10923,-87.55277,2001-03-26,2181:AL:SCAN
227,0.563,31.01912,-85.03693,2001-03-26,2182:AL:SCAN
228,1.278,32.40392,-86.89137,2001-03-26,2176:AL:SCAN
229,1.785,34.43333,-86.68333,2001-03-26,2056:AL:SCAN
230,0.723,34.17973,-87.45618,2001-03-26,2179:AL:SCAN
231,2.395,32.43455,-85.74802,2001-03-26,2115:AL:SCAN
232,2.125,33.33168,-85.51818,2001-03-26,2175:AL:SCAN
233,0.845,34.9,-86.53333,2001-03-26,2053:AL:SCAN
234,-0.462,34.78333,-86.55,2001-04-02,2057:AL:SCAN
235,-0.656,34.89375,-86.60236,2001-04-02,2078:AL:SCAN
236,0.801,32.28393,-86.05253,2001-04-02,2177:AL:SCAN
237,1.186,34.19492,-86.79897,2001-04-02,2113:AL:SCAN
238,-0.951,33.10768,-88.31003,2001-04-02,2174:AL:SCAN
239,1.277,34.4448,-86.16557,2001-04-02,2055:AL:SCAN
240,-0.288,34.81982,-87.98685,2001-04-02,2173:AL:SCAN
241,0.03,30.5238,-87.69797,2001-04-02,2180:AL:SCAN
242,-0.047,32.608,-88.19743,2001-04-02,2114:AL:SCAN
243,0.297,32.41222,-85.91028,2001-04-02,2178:AL:SCAN
244,0.644,31.10923,-87.55277,2001-04-02,2181:AL:SCAN
245,0.434,31.01912,-85.03693,2001-04-02,2182:AL:SCAN
246,0.074,32.40392,-86.89137,2001-04-02,2176:AL:SCAN
247,-0.204,34.43333,-86.68333,2001-04-02,2056:AL:SCAN
248,1.221,34.17973,-87.45618,2001-04-02,2179:AL:SCAN
249,2.305,32.43455,-85.74802,2001-04-02,2115:AL:SCAN
250,0.844,33.33168,-85.51818,2001-04-02,2175:AL:SCAN
251,-0.506,34.9,-86.53333,2001-04-02,2053:AL:SCAN
252,0.703,34.78333,-86.55,2001-04-09,2057:AL:SCAN
253,-0.509,34.89375,-86.60236,2001-04-09,2078:AL:SCAN
254,0.314,32.28393,-86.05253,2001-04-09,2177:AL:SCAN
255,2.541,34.19492,-86.79897,2001-04-09,2113:AL:SCAN
256,1.102,33.10768,-88.31003,2001-04-09,2174:AL:SCAN
258,-2.323,34.81982,-87.98685,2001-04-09,2173:AL:SCAN
259,0.755,30.5238,-87.69797,2001-04-09,2180:AL:SCAN
260,0.757,32.608,-88.19743,2001-04-09,2114:AL:SCAN
261,-0.076,32.41222,-85.91028,2001-04-09,2178:AL:SCAN
262,0.295,31.10923,-87.55277,2001-04-09,2181:AL:SCAN
263,1.378,31.01912,-85.03693,2001-04-09,2182:AL:SCAN
264,0.498,32.40392,-86.89137,2001-04-09,2176:AL:SCAN
265,0.447,34.43333,-86.68333,2001-04-09,2056:AL:SCAN
266,1.547,34.17973,-87.45618,2001-04-09,2179:AL:SCAN
267,2.006,32.43455,-85.74802,2001-04-09,2115:AL:SCAN
268,-1.103,33.33168,-85.51818,2001-04-09,2175:AL:SCAN
269,-0.07,34.9,-86.53333,2001-04-09,2053:AL:SCAN
270,1.645,34.78333,-86.55,2001-04-16,2057:AL:SCAN
271,0.508,34.89375,-86.60236,2001-04-16,2078:AL:SCAN
272,0.432,32.28393,-86.05253,2001-04-16,2177:AL:SCAN
273,1.209,34.19492,-86.79897,2001-04-16,2113:AL:SCAN
274,1.208,33.10768,-88.31003,2001-04-16,2174:AL:SCAN
275,-0.994,34.4448,-86.16557,2001-04-16,2055:AL:SCAN
276,-0.032,34.81982,-87.98685,2001-04-16,2173:AL:SCAN
277,-2.96,30.5238,-87.69797,2001-04-16,2180:AL:SCAN
278,-0.566,32.608,-88.19743,2001-04-16,2114:AL:SCAN
279,0.23,32.41222,-85.91028,2001-04-16,2178:AL:SCAN
280,1.679,31.10923,-87.55277,2001-04-16,2181:AL:SCAN
281,1.298,31.01912,-85.03693,2001-04-16,2182:AL:SCAN
282,-0.917,32.40392,-86.89137,2001-04-16,2176:AL:SCAN
283,-0.093,34.43333,-86.68333,2001-04-16,2056:AL:SCAN
284,-0.497,34.17973,-87.45618,2001-04-16,2179:AL:SCAN
285,1.44,32.43455,-85.74802,2001-04-16,2115:AL:SCAN
286,-0.91,33.33168,-85.51818,2001-04-16,2175:AL:SCAN
287,0.894,34.9,-86.53333,2001-04-16,2053:AL:SCAN
288,2.506,34.78333,-86.55,2001-04-23,2057:AL:SCAN
289,0.524,34.89375,-86.60236,2001-04-23,2078:AL:SCAN
290,0.544,32.28393,-86.05253,2001-04-23,2177:AL:SCAN
291,0.898,34.19492,-86.79897,2001-04-23,2113:AL:SCAN
292,0.341,33.10768,-88.31003,2001-04-23,2174:AL:SCAN
293,1.328,34.4448,-86.16557,2001-04-23,2055:AL:SCAN
294,0.581,34.81982,-87.98685,2001-04-23,2173:AL:SCAN
295,-0.689,30.5238,-87.69797,2001-04-23,2180:AL:SCAN
296,0.493,32.608,-88.19743,2001-04-23,2114:AL:SCAN
297,0.469,32.41222,-85.91028,2001-04-23,2178:AL:SCAN
