DateTime,Timeseries
5/21/2005 0:00,0.844877601
5/28/2005 0:00,1.471285462
6/4/2005 0:00,1.340293646
6/11/2005 0:00,0.930948079
6/18/2005 0:00,0.51058954
6/25/2005 0:00,0.001386166
7/2/2005 0:00,-0.788220108
7/9/2005 0:00,-0.73189348
7/16/2005 0:00,-0.13754797
7/23/2005 0:00,0.102382451
7/30/2005 0:00,0.268347979
8/6/2005 0:00,-0.036063306
8/13/2005 0:00,-0.156637609
8/20/2005 0:00,-0.343084425
8/27/2005 0:00,-0.610678971
9/3/2005 0:00,-0.04076305
9/10/2005 0:00,0.058396537
9/17/2005 0:00,-0.024374153
9/24/2005 0:00,-0.246911228
10/1/2005 0:00,-0.530233562
10/8/2005 0:00,-0.795974076
10/15/2005 0:00,-1.429663181
10/22/2005 0:00,-1.548570633
10/29/2005 0:00,-1.499019742
11/5/2005 0:00,-0.583595634
11/12/2005 0:00,0.475316525
11/19/2005 0:00,1.574872375
11/26/2005 0:00,1.761800766
12/3/2005 0:00,1.707594514
12/11/2005 0:00,0.063772425
12/18/2005 0:00,-1.20357573
12/25/2005 0:00,-1.930046797
1/1/2006 0:00,-1.326170802
1/8/2006 0:00,-0.739888549
1/15/2006 0:00,-0.743581712
1/22/2006 0:00,-0.007816226
1/29/2006 0:00,0.32909441
2/5/2006 0:00,0.500427663
2/12/2006 0:00,0.32265836
2/19/2006 0:00,-0.060528681
2/26/2006 0:00,1.377211094
3/5/2006 0:00,1.372620821
3/12/2006 0:00,1.505979061
3/19/2006 0:00,1.586881995
3/26/2006 0:00,-0.814786494
4/2/2006 0:00,-1.076928496
4/9/2006 0:00,-0.915932238
4/16/2006 0:00,-0.715278685
4/23/2006 0:00,0.120655574
4/30/2006 0:00,0.323209763
5/7/2006 0:00,0.052601602
5/14/2006 0:00,-0.045671534
5/21/2006 0:00,-0.934613347
5/28/2006 0:00,-0.6271106
6/4/2006 0:00,-0.750190079
6/11/2006 0:00,-0.457611442
6/18/2006 0:00,-0.167731076
6/25/2006 0:00,-1.509137273
7/2/2006 0:00,-1.196066618
7/9/2006 0:00,-0.981445909
7/16/2006 0:00,-1.583913207
7/23/2006 0:00,-0.709769368
7/30/2006 0:00,-1.314028144
8/6/2006 0:00,-1.235797524
8/13/2006 0:00,-0.867106974
8/20/2006 0:00,-1.335895419
8/27/2006 0:00,-1.273618102
9/3/2006 0:00,-1.262747169
9/10/2006 0:00,-1.445569396
9/17/2006 0:00,-0.838164985
9/24/2006 0:00,-0.213223591
10/1/2006 0:00,-0.2133044
10/8/2006 0:00,-0.057444014
10/15/2006 0:00,0.294507831
10/22/2006 0:00,0.956384063
10/29/2006 0:00,0.452952236
11/5/2006 0:00,-0.062931105
11/12/2006 0:00,1.04098022
11/19/2006 0:00,0.139677867
11/26/2006 0:00,0.352448374
12/3/2006 0:00,-0.20159474
12/11/2006 0:00,-0.535454094
12/18/2006 0:00,-0.626381874
12/25/2006 0:00,-0.722153068
1/1/2007 0:00,0.357144177
1/8/2007 0:00,0.488172591
1/15/2007 0:00,0.942132175
1/22/2007 0:00,1.005666614
1/29/2007 0:00,-0.114113115
2/5/2007 0:00,-0.33104372
2/12/2007 0:00,-1.808818817
2/19/2007 0:00,-2.194268942
2/26/2007 0:00,-1.695408225
3/5/2007 0:00,-0.871317446
3/12/2007 0:00,-0.987242103
3/19/2007 0:00,-0.840928376
3/26/2007 0:00,-0.367051959
4/2/2007 0:00,-0.575619519
4/9/2007 0:00,-0.591178536
4/16/2007 0:00,-0.736886859
4/23/2007 0:00,-1.027231693
4/30/2007 0:00,-1.569430351
5/7/2007 0:00,-2.557024956
5/14/2007 0:00,-2.414148808
5/21/2007 0:00,-1.892803431
5/28/2007 0:00,-1.922442317
6/4/2007 0:00,-1.235014915
6/11/2007 0:00,-0.630077481
6/18/2007 0:00,-0.534502447
6/25/2007 0:00,-0.353268087
7/2/2007 0:00,-0.120938532
7/9/2007 0:00,-0.30762136
