Date,ESI,station,week_x,week_y,2inANOM,4inANOM,8inANOM,20inANOM,40inANOM
2011-07-09,0.333,2176:AL:SCAN,27,27,-0.22975088492550336,-1.0046657569258342,-1.0333804562553335,-0.9168236134875384,-1.0140657635536638
2011-07-16,-0.774,2176:AL:SCAN,28,28,0.48347131656774284,-0.10785355917685113,-1.0916771322369045,-1.265559302869001,-1.086775322861631
2011-07-23,0.137,2176:AL:SCAN,29,29,0.45376638996318136,0.25278333289809185,-1.1247952816960964,-1.3013346824075591,-0.9102571928886826
2011-07-30,0.624,2176:AL:SCAN,30,30,0.9930244888983516,0.4034301639515726,-0.740009523702528,-1.8776723652726601,-1.1706634125209108
2011-08-06,0.542,2176:AL:SCAN,31,31,0.15641533300737986,-0.8980265745523345,-1.1598052476986351,-1.3675055891085044,-1.0501408419043543
2011-08-20,-1.006,2176:AL:SCAN,33,33,-0.7944157378096474,-0.8634011629439928,-1.1965585635680995,-1.3297902617076858,-1.4501271809073668
2011-09-03,-1.753,2176:AL:SCAN,35,35,-1.2566575119897816,-1.6622714117597244,-1.6722446673021534,-1.3359231486774348,-1.1282661284006215
2011-09-10,-0.008,2176:AL:SCAN,36,36,0.6998465193738705,0.22459790507531605,-0.37960983311834023,-1.159746994998024,-1.1937530682479809
2011-09-17,-0.168,2176:AL:SCAN,37,37,-0.05876236368757672,0.029550420445106966,-0.26331510693363647,-0.9256903909413586,-1.3563464177509332
2011-09-24,0.593,2176:AL:SCAN,38,38,-0.0008000595266432032,0.06399324994432769,-0.6447976108662538,-0.9150834914059658,-1.0470235737950984
2011-10-01,0.3,2176:AL:SCAN,39,39,0.9539442942007266,0.7479821083181806,-0.12478941373275215,-0.9010365922660656,-0.8257846582119787
2011-10-08,-0.453,2176:AL:SCAN,40,40,0.06466985688248487,-0.1027501177796122,-0.35338593101314575,-0.940024246088044,-0.9095676719217363
2011-10-15,-0.081,2176:AL:SCAN,41,41,0.7755255699560645,0.39551720049351113,-0.7916891929561435,-1.053943890659373,-0.969586455398121
2011-10-22,0.264,2176:AL:SCAN,42,42,0.19105354548247502,-0.24182122307836912,-1.0750988355087019,-1.4183929881488715,-1.1034599758366668
