,Date,ESI,station,2inANOM,4inANOM,8inANOM,20inANOM,40inANOM,2in_pr,4in_pr,8in_pr,20in_pr,40in_pr,2inSMSDC,4inSMSDC,8inSMSDC,20inSMSDC,40inSMSDC
2919,2017-09-10,-1.254,2174:AL:SCAN,1.3248372101747865,0.9596186719057748,0.4641530067479123,0.0256478562706758,0.5752449044252237,93.38580955504537,83.74800273910066,65.69593621968775,46.9059405940594,68.3144147442939,,,,,
2920,2017-09-17,-0.218,2174:AL:SCAN,1.4753825397640123,0.6894318967441448,0.7276001324138414,0.0534438794959496,0.538155407463872,95.58325133923691,73.21387811002054,76.5474476802126,48.01980198019802,66.97180519956059,,,,,
2921,2017-09-24,0.836,2174:AL:SCAN,0.706551380497457,-0.016591903326556,-0.0402920186753703,0.0078350336134889,0.4014186168995661,73.83841696731169,47.32937685459941,45.74244269737571,46.27587758775877,61.69901135115342,,,,,
2922,2017-10-01,0.2,2174:AL:SCAN,-0.1534985175900654,-0.3500324320879427,-0.6188923530756016,0.0851177250519581,0.4598426892983622,42.93210888816005,36.0648253823328,26.48654634038313,49.122412241224126,64.00585865983156,,,0.0,,
2923,2017-10-08,-2.499,2174:AL:SCAN,-0.6378857247775195,-0.5193476239298839,-1.0541298606820038,0.1451515979984206,0.2070347034937128,27.20017492073904,30.803469527505133,14.594175617318125,51.755175517551756,55.03478579274991,0.0,,1.0,,
2924,2017-10-15,1.313,2174:AL:SCAN,0.8041336659062618,0.864188099684349,0.5350106383480933,-0.1366145093672323,0.3064871995450525,77.8615939652345,80.44966902533668,68.76314915291772,41.21287128712871,58.35469303063591,,,,,
2925,2017-10-22,0.855,2174:AL:SCAN,0.489395117886279,0.1778505936878987,0.2948431575420325,-0.0441881653298139,0.4082506916170513,65.20170547720564,54.17712850947273,59.46185361532499,44.44194419441944,61.9065055535213,,,,,
2926,2017-10-29,-0.264,2174:AL:SCAN,0.7897658160357559,0.4880404368938481,0.305258989136345,-0.1752488467792731,0.0782385175481107,77.19470864764403,65.21342159324355,59.80511571254568,39.95274527452745,50.97034053460271,,,,,
2927,2017-11-05,1.63,2174:AL:SCAN,0.9014071047946104,0.4753494615886427,0.2846491851429346,-0.0139114930250239,0.4024275178837999,81.56772712364709,64.66560146085368,59.074299634591966,45.46579657965796,61.72342243378493,,,,,
2928,2017-11-12,0.985,2174:AL:SCAN,0.7868450514327493,0.5427659502110876,0.4289746656297306,-0.034144897273211,0.4725159551535382,77.12911337050399,67.45035380050217,64.30074188904882,44.82448244824482,64.50628585377761,,,,,
2929,2017-11-19,1.131,2174:AL:SCAN,0.4052443513460307,0.1694883713484286,0.0885461561979519,-0.0813074935596918,0.3221937609201329,61.911009074013336,53.91463136270258,51.14605248588197,43.17056705670567,58.989381179055286,,,,,
